Bus number: 2435, root cords: [55.787489, 49.122289]
[55.769675, 49.17727] 0.057794886945125364
[55.77176, 49.17557] 0.055554175378632296
[55.774423, 49.175123] 0.05442565490648461
[55.778702, 49.17314] 0.051604608030672995
[55.779872, 49.172285] 0.05057290485032539
[55.782762, 49.170898] 0.04883829859853769
[55.786023, 49.171085] 0.04881801687901298
[55.787247, 49.171137] 0.04884859944768076
[55.78723, 49.168322] 0.04603372861283476
[55.78713, 49.161247] 0.03895965406674032
[55.787345, 49.159708] 0.037419277077463564
[55.78772, 49.155967] 0.033678792214087004
[55.78888, 49.152063] 0.029806475085118134
[55.791237, 49.152722] 0.03066292538228717
[55.793817, 49.154765] 0.03308676714337111
